Id,Genre
1,Action
2,Adventure
3,Mystery
4,Horror
5,Sci-Fi
6,Comedy
7,Drama
8,Romance
9,Sport
10,Crime
11,Thriller
12,Family
13,Animation
14,Biography
15,Music
16,Fantasy
17,Short
18,Documentary
19,History
20,News
21,Musical
22,War
