MovieId,ActorId
1,1
1,2
1,3
2,4
2,5
2,6
3,7
3,8
3,9
4,10
4,11
4,12
5,13
5,14
5,15
6,16
6,17
6,18
7,19
7,20
7,21
8,22
8,23
8,24
9,25
9,26
9,27
10,28
10,29
10,30
11,31
11,32
11,33
12,34
12,35
12,36
13,37
13,38
13,39
14,40
14,41
14,42
15,43
15,44
15,45
16,46
16,47
16,19
17,48
17,49
17,50
18,51
18,52
18,53
19,54
19,55
19,56
20,57
20,58
20,59
21,60
21,61
21,62
22,63
22,64
22,65
23,66
23,67
23,68
24,69
24,70
24,71
25,72
25,73
25,74
26,75
26,76
26,77
27,78
27,79
27,80
28,81
28,82
28,83
29,84
29,85
29,86
30,87
30,88
30,89
31,90
31,91
31,92
32,93
32,94
32,95
33,96
33,97
33,98
34,99
34,100
34,101
35,102
35,103
36,104
36,105
36,106
37,107
37,108
37,109
38,110
38,111
38,112
39,113
39,114
39,115
40,116
40,117
40,118
41,119
41,120
41,121
42,122
42,123
42,124
43,125
43,126
43,127
44,128
44,129
44,130
45,131
45,132
45,133
46,69
46,134
46,135
47,136
47,137
47,138
48,139
48,129
48,140
49,141
49,142
49,143
50,144
50,145
50,146
51,147
51,148
51,149
52,65
52,150
52,106
53,151
53,152
53,153
54,154
54,155
54,107
55,156
55,157
55,158
56,159
56,160
56,161
57,162
57,163
57,164
58,165
58,166
58,167
59,168
59,169
59,170
60,171
60,172
60,173
61,174
61,175
61,176
62,177
62,178
62,179
63,180
63,181
63,182
64,183
64,184
64,185
65,186
65,187
65,188
66,189
66,190
66,191
67,192
67,193
67,194
68,195
68,162
68,196
69,197
69,198
69,199
70,200
70,201
70,202
71,203
71,204
71,205
72,206
72,207
72,208
73,209
73,210
73,211
74,212
74,213
74,214
75,215
75,216
75,217
76,218
76,219
76,220
77,222
77,223
78,224
78,225
78,226
79,227
79,228
79,229
80,230
80,231
80,232
81,233
81,234
81,235
82,158
82,236
82,237
83,238
83,239
83,240
84,241
84,242
84,243
85,244
85,245
85,246
86,247
86,248
86,249
87,250
87,251
87,252
88,253
88,254
88,255
89,256
89,257
89,258
90,259
90,260
90,261
91,262
91,263
91,264
92,265
92,266
92,96
93,267
93,268
93,269
94,270
94,271
94,272
95,273
95,274
95,275
96,276
96,20
97,278
97,279
97,280
98,281
98,282
98,283
99,284
99,285
99,286
100,287
100,94
100,288
101,289
101,290
101,291
102,292
102,293
102,294
103,295
103,296
103,297
104,298
104,299
104,300
105,29
105,28
105,167
106,301
106,302
106,303
107,304
107,36
107,305
108,306
108,307
108,308
109,22
109,104
109,309
110,310
110,311
110,312
111,175
111,313
111,314
112,315
112,316
112,317
113,318
113,319
113,43
114,320
114,321
114,322
115,323
115,324
115,325
116,326
116,289
116,327
117,328
117,329
117,330
118,331
118,332
118,333
119,334
119,335
119,336
120,337
120,338
120,339
121,340
121,341
121,342
122,343
122,344
122,345
123,276
123,328
123,346
124,347
124,305
124,348
125,197
125,198
125,199
126,349
126,350
126,351
127,292
127,352
127,353
128,301
128,302
128,303
129,354
129,355
129,356
130,22
130,357
130,358
131,292
131,354
131,359
132,326
132,93
132,346
133,360
133,361
133,362
134,81
134,363
134,364
135,365
135,366
135,367
136,368
136,369
136,370
137,75
137,76
137,77
138,371
138,372
138,373
139,266
139,31
139,374
140,93
140,375
140,376
141,34
141,359
141,377
142,64
142,378
142,121
143,379
143,380
143,381
144,383
144,384
145,107
145,287
145,385
146,386
146,387
146,21
147,94
147,23
147,388
148,389
148,390
148,290
149,391
149,392
149,393
150,394
150,395
150,396
151,397
151,398
151,399
152,275
152,400
152,401
153,402
153,403
153,404
154,405
154,406
154,407
155,398
155,28
155,408
156,409
156,50
156,410
157,411
157,412
157,413
158,127
158,414
158,415
159,416
159,35
159,417
